shape,kernel,latency_ms,tflops,gb_s,vs_torch
512x512x512,torch,0.031744,8.46,99.1,1.00
512x512x512,cublas,0.031744,8.46,99.1,1.00
512x512x512,naive,0.110592,2.43,28.4,0.29
512x512x512,tiled,0.077824,3.45,40.4,0.41
512x512x512,1D_coarsening,0.083968,3.20,37.5,0.38
512x512x512,2D_coarsening,0.192512,1.39,16.3,0.16
512x512x512,tilelang,0.029696,9.04,105.9,1.07
1024x1024x1024,torch,0.134144,16.01,93.8,1.00
1024x1024x1024,cublas,0.134144,16.01,93.8,1.00
1024x1024x1024,naive,0.660480,3.25,19.1,0.20
1024x1024x1024,tiled,0.441344,4.87,28.5,0.30
1024x1024x1024,1D_coarsening,0.306176,7.01,41.1,0.44
1024x1024x1024,2D_coarsening,0.372736,5.76,33.8,0.36
1024x1024x1024,tilelang,0.051200,41.94,245.8,2.62
2048x2048x2048,torch,0.976896,17.59,51.5,1.00
2048x2048x2048,cublas,0.976896,17.59,51.5,1.00
2048x2048x2048,naive,4.762624,3.61,10.6,0.21
2048x2048x2048,tiled,3.215360,5.34,15.7,0.30
2048x2048x2048,1D_coarsening,1.794048,9.58,28.1,0.54
2048x2048x2048,2D_coarsening,1.742848,9.86,28.9,0.56
2048x2048x2048,tilelang,0.175104,98.11,287.4,5.58
4096x4096x4096,torch,7.513088,18.29,26.8,1.00
4096x4096x4096,cublas,7.513088,18.29,26.8,1.00
4096x4096x4096,naive,,,,
4096x4096x4096,tiled,28.070911,4.90,7.2,0.27
4096x4096x4096,1D_coarsening,13.583360,10.12,14.8,0.55
4096x4096x4096,2D_coarsening,10.798080,12.73,18.6,0.70
4096x4096x4096,tilelang,0.909312,151.15,221.4,8.26
